subject,spam_label
"Hello yuvaraj.d85@gmail.com,  🛍️ Amazon Grocery Deals – Up to 50% OFF + Same-Day Delivery 🚚 Extra Cashback & Bank Discounts 👉 Don’t Miss Out!",1
Next ’26 early bird registration is open,1
Do’s & Don’ts and Important Information for your account!!!,1
Your Digitally Signed CML — Now Just a Click Away!,1
"Hello yuvaraj.d85@gmail.com, Your Horoscope for the week: Your stars are predicting this for you for the week of Dec 7 – Dec 13, 2025",1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now!",1
The $1.9 trillion industry AI is about to demolish,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻",1
Last Chance to Register — Subsurface Live Is Tomorrow,1
Don't miss out on your free trial.,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF,1
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Your old TV setup is outdated… try this 👇 #5290677042,1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻",1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained",1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live,1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️,1
The dirty secret of financial newsletters,1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty",1
