input,output
salary >= 526614,ColumnValue `salary` >= 526614
cusip >= 742530,ColumnValue `cusip` >= 742530
length of cusip > 4644,ColumnLength `cusip` > 4644
weight <= 619085,ColumnValue `weight` <= 619085
length of height > 4060,ColumnLength `height` > 4060
length of holdings > 5494,ColumnLength `holdings` > 5494
type of cusip is float,ColumnDataType `cusip` = 5494
salary > 364405,ColumnValue `salary` > 364405
holdings <= 295722,ColumnValue `holdings` <= 295722
cusip < 228175,ColumnValue `cusip` < 228175
length of cusip = 6270,ColumnLength `cusip` = 6270
age <= 720988,ColumnValue `age` <= 720988
length of weight < 6276,ColumnLength `weight` < 6276
type of holdings is float,ColumnDataType `holdings` = 6276
cusip >= 575477,ColumnValue `cusip` >= 575477
type of height is float,ColumnDataType `height` = 575477
length of weight > 4695,ColumnLength `weight` > 4695
type of height is float,ColumnDataType `height` = 4695
length of cusip < 6691,ColumnLength `cusip` < 6691
weight = 82728,ColumnValue `weight` = 82728
length of salary > 5995,ColumnLength `salary` > 5995
ticker_symbol <= 123036,ColumnValue `ticker_symbol` <= 123036
length of ticker_symbol <= 1608,ColumnLength `ticker_symbol` <= 1608
cusip >= 965078,ColumnValue `cusip` >= 965078
type of weight is string,ColumnDataType `weight` = 965078
height <= 6947,ColumnValue `height` <= 6947
height = 613833,ColumnValue `height` = 613833
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 613833
length of cusip < 9481,ColumnLength `cusip` < 9481
height = 107433,ColumnValue `height` = 107433
type of age is int,ColumnDataType `age` = 107433
type of holdings is boolean,ColumnDataType `holdings` = 107433
length of cusip > 8071,ColumnLength `cusip` > 8071
type of salary is string,ColumnDataType `salary` = 8071
length of ticker_symbol <= 671,ColumnLength `ticker_symbol` <= 671
type of height is int,ColumnDataType `height` = 671
ticker_symbol < 586795,ColumnValue `ticker_symbol` < 586795
type of age is string,ColumnDataType `age` = 586795
type of height is boolean,ColumnDataType `height` = 586795
type of holdings is int,ColumnDataType `holdings` = 586795
holdings <= 467722,ColumnValue `holdings` <= 467722
length of salary >= 3412,ColumnLength `salary` >= 3412
length of ticker_symbol = 1770,ColumnLength `ticker_symbol` = 1770
length of height < 4552,ColumnLength `height` < 4552
type of holdings is string,ColumnDataType `holdings` = 4552
type of age is float,ColumnDataType `age` = 4552
length of age >= 2974,ColumnLength `age` >= 2974
ticker_symbol < 378067,ColumnValue `ticker_symbol` < 378067
cusip <= 726095,ColumnValue `cusip` <= 726095
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 726095
type of salary is float,ColumnDataType `salary` = 726095
age >= 163734,ColumnValue `age` >= 163734
cusip <= 512628,ColumnValue `cusip` <= 512628
weight = 529333,ColumnValue `weight` = 529333
age < 486332,ColumnValue `age` < 486332
length of holdings <= 273,ColumnLength `holdings` <= 273
holdings = 940722,ColumnValue `holdings` = 940722
length of age <= 2421,ColumnLength `age` <= 2421
length of height < 1106,ColumnLength `height` < 1106
length of holdings >= 7790,ColumnLength `holdings` >= 7790
type of age is int,ColumnDataType `age` = 7790
salary < 101897,ColumnValue `salary` < 101897
type of cusip is int,ColumnDataType `cusip` = 101897
ticker_symbol < 850843,ColumnValue `ticker_symbol` < 850843
holdings >= 629289,ColumnValue `holdings` >= 629289
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 629289
height < 103291,ColumnValue `height` < 103291
type of holdings is int,ColumnDataType `holdings` = 103291
type of height is string,ColumnDataType `height` = 103291
weight <= 911092,ColumnValue `weight` <= 911092
weight < 905117,ColumnValue `weight` < 905117
salary = 52816,ColumnValue `salary` = 52816
type of holdings is boolean,ColumnDataType `holdings` = 52816
ticker_symbol > 446886,ColumnValue `ticker_symbol` > 446886
type of height is float,ColumnDataType `height` = 446886
type of age is int,ColumnDataType `age` = 446886
cusip <= 976981,ColumnValue `cusip` <= 976981
type of age is boolean,ColumnDataType `age` = 976981
